Ca,Mg,K,S,N,Lime,C,P,Moisture
1.846,28.56,204.29,16,297.92,4.7,2.16,257,0.8
2.128,28.46,193.58,14,308.56,4.59,2.1,242,0.7
2.205,30,202.64,10,297.92,4.71,2.13,253,0.5
2.179,30.67,203.9,11,319.2,4.6,1.87,261,0.8
2.333,28.56,216.61,10,329.84,4.63,2.16,239,0.6
1.538,8.365,54.74,2,191.52,5.05,0.55,55,0.8
2.359,29.47,215.08,4,287.28,4.63,0.56,211,0.8
2.462,31.11,230.46,3,223.44,4.63,0.5,119,0.6
2.026,25.82,241.94,5,297.92,4.7,0.47,221,0.5
2.564,30.38,209.86,5,266,4.69,0.53,235,0.5
2.154,30.14,235.35,2,372.4,4.72,0.48,253,0.5
2.051,27.69,224.92,9,297.92,4.65,0.49,265,0.8
2.026,27.31,208.95,8,319.2,4.73,0.47,256,0.9
2.256,29.28,210.4,8,266,4.65,0.48,238,0.6
2.256,30.77,188.16,30,276.64,4.54,0.45,256,0.9
1.821,27.74,197.68,6,297.92,4.71,0.41,250,0.7
2.205,29.23,177.58,3,266,4.7,0.5,281,0.7
3,33.46,193.76,3,223.44,4.68,0.49,273,0.6
2.487,30.58,198.4,5,319.2,4.74,0.54,251,0.7
2.103,27.5,207.09,2,319.2,4.69,0.54,236,0.9
1.872,25.43,185,2,340.48,4.7,0.5,260,0.8
2.205,27.88,182.11,9,319.2,4.72,0.45,262,0.7
2.128,28.85,182,7,329.84,4.61,0.54,244,0.9
1.641,19.9,137.06,5,223.44,4.68,0.5,262,0.9
1.821,16.3,112.45,7,266,4.85,0.46,160,0.5
1.385,7.452,47.51,2,159.6,5.23,0.56,26,0.6
1.128,10.29,59,2,202.16,5.16,0.47,24,0.5
1.026,5.625,47.7,2,180.88,5.34,0.51,18,0.7
1.231,9.856,57.16,2,180.88,5.33,0.47,42,0.6
1.256,7.067,48.25,2,234.08,5.31,0.62,21,0.9
1.026,4.519,58.85,4,191.52,5.1,0.57,22,0.5
1.128,5.481,34.57,4,180.88,5.32,0.48,20,0.6
1.154,7.692,58.84,3,191.52,5.19,0.51,33,0.5
1.564,8.75,59.94,2,202.16,5.14,0.47,29,0.9
1.154,7.067,52.63,2,234.08,5.25,0.57,33,0.5
1.077,4.952,42.57,2,212.8,5.02,0.48,15,0.7
1.103,4.808,45.41,2,159.6,4.9,1.85,30,0.6
0.949,5.433,49.43,3,297.92,5.08,1.24,30,0.7
0.795,5.577,46.5,2,212.8,5.22,1.71,40,0.5
1.154,4.904,42.2,2,159.6,5.01,1.96,23,0.9
1.487,6.538,46.51,2,159.6,4.97,1.85,17,0.5
1.128,5.288,49.7,2,180.88,5.18,1.9,26,0.7
0.949,4.519,51.79,5,212.8,4.95,1.8,46,0.5
1.154,5.433,43.91,2,191.52,5.2,1.75,24,0.9
1.128,4.808,54.28,3,159.6,5.06,2.02,23,0.8
0.949,5.192,50.33,2,212.8,5.09,0.76,15,0.8
0.923,4.856,51.83,2,170.24,5.25,1.82,20,0.5
1.103,6.154,49.67,13,212.8,5.17,1.77,20,0.9
0.974,5.096,56.73,12,202.16,5.04,1.83,19,0.6
1.462,5.481,53.14,5,212.8,5.28,1.72,22,0.6
0.872,5.433,55.09,3,191.52,5.32,1.91,21,0.6
1.128,6.442,52.34,3,244.72,5.2,1.82,23,0.7
1.026,5.385,54.42,2,223.44,5.14,1.71,13,0.5
0.897,5.192,53.48,3,212.8,5,1.65,16,0.9
0.974,5.096,59.77,3,191.52,5.21,1.25,21,0.5
1.231,7.212,66.15,4,212.8,5.18,0.57,44,0.7
1.128,6.154,55.47,4,159.6,5.38,0.49,27,0.8
0.974,5.913,60.58,3,212.8,5.6,0.55,30,0.9
1.308,5.673,62.21,4,212.8,5.26,0.61,22,0.7
1.462,6.298,75.82,5,159.6,5.1,0.73,26,0.7
1.282,7.212,63.26,23,234.08,5.26,0.65,19,0.6
1.128,6.49,59.1,3,212.8,5.3,0.58,26,0.7
1.026,6.058,59.6,4,223.44,5,0.46,19,0.5
0.949,6.202,61.79,2,266,5.04,0.45,19,0.6
0.872,5.048,51.98,2,212.8,5.23,0.49,22,0.7
1,5.913,67.54,4,255.36,5.1,0.53,19,0.8
1.103,5.288,53.23,2,212.8,5.05,0.51,24,0.5
